定期的な	periodic	ていきてきな
血圧	blood pressure	けつあつ
体力	physical strength	たいりょく
気力	mental strength	きりょく
心身	body and soul	しんしん
健やかな	healthy	すこやかな
かたよる	unbalanced	
小柄な	small built	こがらな
寿命	duration of life	じゅみょう
手首	wrist	てくび
かかと	heel	
つま先	toe	つまさき
血管	blood vessel	けっかん
さらさら	smoothly	
筋肉	muscle	きんにく
障がい	disability	しょうがい
乗り越える	to overcome	のりこえる
傷跡	scar	きずあと
いびき	snoring	
体が持つ	one's body will last	からだがもつ
休養	rest	きゅうよう
疲労	fatigue	ひろう
不調	(body) falling	ふちょう
体調	body condition	たいちょう
やや	a little	
寝心地	the feeling in bed	ねごこち
大した	quite serious	たいした
通院	visiting the hospital	つういん
おとろえる	to deteriorate	
きたえる	to train	
適度な	moderate	てきどな
予防	prevention	よぼう
補給	replenish	ほきゅう
不足する	to lack	ふそくする
取り戻す	to take back	とりもどす
ワクチン	vaccine	
加入する	to join	かにゅうする
医師	doctor	いし
くれぐれも	earnestly	
反比例	inverse proportion	はんぴれい
反体制	anti-establishment	はんたいせい
逆輸入	reverse import	ぎゃくゆにゅう
程度	degree	ていど
ぼうっと	absent-mindedly/faintly	
フラフラな	dizzy	
意識	consciousness	いしき
しゃがむ	crouch	
視野	field of view	しや
呼吸	breath	こきゅう
詰まる	to stuff/to pack	つまる
耐える	to bear	たえる
便秘	constipation (zapor)	べんぴ
〜気味	feeling, a touch of~	〜ぎみ
寒気	shivers	さむけ
ねじる	sprain	
しっしん	rash	
はれる	swell	
しきりに	frequently	
異常	abnormality	いじょう
伴う	to be accompanied by	ともなう
単なる	just	たんなる
伝染	infection	でんせん
反応	response	はんのう
病む	to be ill	やむ
負傷	injury	ふしょう
重体	serious condition	じゅうたい
熱中症	heat stroke	ねっちゅうしょう
細菌	bacteria	さいきん
つまずく	trip/setback	
医療	healthcare	いりょう
高度	high degree/advanced	こうど
実績	result, experience	じっせき
負担	burden	ふたん
適用	application	てきよう
手当て	treatment	てあて
尽くす	to do everything possible	つくす
薬品	medicine	やくひん
作用	effect	さよう
目安	an aim, standard	めやす
副作用	side effect	ふくさよう
余計に	unnecessarily/in excess	よけいに
もむ	massage	
告げる	to tell	つげる
覚悟	preparation	かくご
看病	nursing	かんびょう
配慮	consideration	はいりょ
遺伝	heridetary	いでん
克服する	to overcome	こくふくする
肌	skin	はだ
手入れ	care	ていれ
維持	maintenance	いじ
かえって	rather	
刺激	stimulation	しげき
カサカサ	dry, flaky (skin)	
低下する	to get weakened	ていかする
くっきり	clearly	
つや	glossiness	
脂肪	fat	しぼう
肥満	obesity	ひまん
減量	weight loss	げんりょう
急激な	drastic	きゅうげきな
一向に〜ない	not the least bit ~	いっこうに〜ない
疑わしい	doubtful	うたがわしい
姿勢	posture	しせい
医者にかかる	to visit a doctor	いしゃにかかる
依存	dependency	いぞん
映す	to show	うつす
各自	each one	かくじ
各界	various circles	かっかい
諸事情	various seniors	しょじじょう
騒音	noise	そうおん
続出する	to appear one after another	ぞくしゅつする
思わず	couldn't help	おもわず
一方	keep on, one side	いっぽう
対立	confrontation	たいりつ
拒否する	to deny	きょひする
訴える	to sue, to claim	うったえる
裁判	lawsuit	さいばん
はねる	to splash	
犯罪	crime	はんざい
暴れる	to be violent	あばれる
乱暴	violence	らんぼう
暴力	violence	ぼうりょく
おどかす	to threaten	おどかす
侵入する	to enter (smwhr)	しんにゅうする
のぞく	to look into	
見知らぬ	unknown	みしらぬ
近寄る	to approach	ちかよる
縮まる	to shrink	ちぢまる
無理やり	forcibly	むりやり
捜査	investigation	そうさ
確定	confirmation	かくてい
一致する	to match	いっちする
自ら	oneself	みずから
居場所	whereabouts	いばしょ
持ち主	owner	もちぬし
あくまで	to the end	
実に	quite	じつに
困難	difficulty	こんなん
改める	to change for better	あらためる
ようやく	finally	
発生	occurrence	はっせい
相次ぐ	to follow in succession	あいつぐ
一瞬	in a moment	いっしゅん
荒っぽい	rough	あらっぽい
少年	boy	しょうねん
取り締まり	crackdown	とりしまり
防止	prevention	ぼうし
事情	circumstance	じじょう
有無	with or without	うむ
