つらい	painful, depressing	
心細い	lonely	こころぼそい
弱気	weakness, loneliness	よわき
落ち込む	depressed	おちこむ
失望	dissapointment	しつぼう
絶望する	to have no hope	ぜつぼうする
傷つく	to be hurt	きずつく
わずらわしい	feeling pain	
うんざりする	to be sick of smth	
戸惑う	to be perplexed	とまどう
ためらう	to be reluctant	
すまない	sorry	
仕方がない	cannot be helped	しかたがない
しまった！	oh dear!	
恐る	to fear	おそれる
情けない	pitiful	なさけない
恥	embarrasement	はじ
構わない	to not care	かまわない
別に	not particular	べつに
はきはき	clearly	
清潔な	clean	せいけつな
客観的な	objective	きゃっかんてきな
冷静な	calm	れいせいな
もっともな	understantable	
謙そんする	to be humble	けんそんする
若々しい	young	わかわかしい
唯一	only	ゆいいつ
洗練する	to have finess	せんれんする
品	elegance	ひん
広々とする	to be spacious	ひろびろとする
ふわふわな	soft/spongy	
断然	definitely	だんぜん
結構な	nice/fine	けっこうな
見事な	stunning	みごとな
貴重な	precious	きちょうな
質素な	frugal, economic	しっそな
同様な	same as	どうような
憎らしい	hateful	にくらしい
強引な	forceful	ごういんな
うっとうしい	annoying	
やっかいな	troublesome	
とんでもない	unbelievable/not at all	
安易な	easy	あんいな
無難な	safe, passable	ぶなんな
平凡な	ordinary	へいぼんな
みっともない	miserable	
見苦しい	miserable	みぐるしい
ミニクイ	ugly	
ボロボロな	falling apart	
あわれな	pitiful	
乏しい	lacking	とぼしい
中途半端	halfway	ちゅうとはんぱ
まごまごする	to feel excited, worried	
矛盾	contradiction	むじゅん
ニヤニヤする	to grin	
デコボコな	bumpy	
それなり	passable	
気が早い	hasty	きがはやい
気が重い	dispirited	きがおもい
気が合う	to get along well	きがあう
気が利く	to be thoughtful	きがきく
気がつく	attentive	きがつく
気が強い	aggressive	きがつよい
気が小さい	timid	きがちいさい
気を遣う	to worry about	きをつかう
気が進めない	don't feel up to smth	きがすすめない
気にかかる	to worry about	きにかかる
気にくわない	to dislike	きにくわない
心が通う	to communicate by heart	こころがかよう
心が狭い	petty-minded	こころがせまい
心が動く	to be tempted	こころがうごく
心を配る	to be considerate	こころをくばる
心を引かれる	to be attracted	こころをひかれる
心を許す	to trust	こころをゆるす
胸が痛む	to be in pain	むねをいたむ
胸が一杯になる	to have a lump in one's heart	むねがいっぱいになる
胸をはずませる	heart leaps	むねをはずませる
慣用句	idiom	かんようく
頭が固い	stubborn	あたまがかたい
頭にくる	to be mad	あたまにくる
頭が下がる	to respect, to be humbled	あたまがさがる
顔が広い	to know a lot of people	かおがひろい
顔を出す	to drop by	かおをだす
〜に目がない	to be addicted to ~	〜にめがない
目が離せない	can't take one's eyes off of	めがはなせない
目が回る	to have head spinning	めがまわる
目に浮かぶ	to imagine	めにうかぶ
目にする	to witness	めにする
目に付く	to notice	めにつく
目を疑う	to be unable to believe	めにうたがう
目を向ける	to be aware of	めをむける
目を通す	to take a glance	めをとおす
耳が痛い	to be painfully true	みみがいたい
耳が遠い	to have difficulties hearing	みみがとおい
耳にする	to hear	みみにする
耳を傾ける	to listen	みみをかたむける
耳を疑う	to doubt	みみをうたがう
口がうまい	eloquent	くちがうまい
口が堅い	to be able to keep a secret	くちがかたい
口が軽い	to be unable to keep a secret	くちがかるい
口が重い	to be incommunicative	くちがおもい
口が滑る	to have a slip of the tongue	くちがすべる
口が悪い	to have a dirty mouth	くちがわるい
口にする	to mention, to eat	くちにする
口に合う	to suit someone's taste	くちにあう
口を出す	to have a say, to stick one's nose	くちをだす
手がふさがる	to be busy	てがふさがる
手が空く	to be free	てがあく
手がかかる	to take a lot of work	てがかかる
手が離せない	to be in the middle of something	てがはなせない
手にする	to take hold of	てにする
手に入れる	to acquire	てにいれる
手につかない	to be unable to concentrate	てにつかない
手をつける	to start working on	てをつける
手を貸す	to give a hand	てをかす
手を休める	to take a break	てをやすめる
手を抜く	to be lazy, to be sick	てをぬく
腕がいい	skillful	うでがいい
腕を磨く	to improve skills	うでをみがく
腕が上がる	skills have improved	うでがあがる
肩を落とす	to be discouraged	かたをおとす
腹が立つ	to be angry	はらがたつ
腹を抱える	to laugh hard	はらをかかえる
足が出る	to go over budget	あしがでる
足を伸ばす	to go further to	あしをのばす
足を運ぶ	to travel to	あしをはこぶ
足を引っ張る	to be in someone's way	あしをひっぱる
何かと	one way or another	なにかと
何だかんだ	one thing or another	なんだかんだ
なぜか	for some reason	
何だか	somehow	なんだか
何しろ	at any rate	なにしろ
何とも〜ない	nothing at all	なんとも〜ない
どうか	please	
どうにか	in some way	
どうしても	by all means	
どうせ	anyway	
どうやら	evidently	
とてもVない	cannot V by any possibility	
より	to do more	
いかに	how	
いかにも	indeed	
それで	and then	
そこで	so, accordingly	
すると	then	
なぜなら	because	
というのも	the reason being	
いわゆる	so-called	
その上	furthermore	そのうえ
そればかりか	not only that but

