_id,amount,category,date
ObjectId("5b97805168dc05b1884b6661"),21,food,""2018-09-11T08:44:01.296Z""
ObjectId("5b97806a68dc05b1884b6662"),900,food,""2018-09-11T08:44:26.484Z""
ObjectId("5b97ad52a69b5b5d8287e547"),194,food,""2018-09-11T11:56:02.605Z""
ObjectId("5b97be25a69b5b5d8287e54b"),1426,fun,""2018-09-11T13:07:49.611Z""
ObjectId("5b984036a69b5b649f8dc949"),484,food,""2018-09-11T22:22:46.410Z""
ObjectId("5b9851b5a69b5b649f8dc94e"),747,food,""2018-09-11T23:37:25.491Z""
ObjectId("5b9872c9a69b5b649f8dc952"),401,food,""2018-09-12T01:58:33.489Z""
ObjectId("5b987de3a69b5b649f8dc955"),798,food,""2018-09-12T02:45:55.095Z""
ObjectId("5b992870a69b5b649f8dc970"),849,food,""2018-09-12T14:53:36.411Z""
ObjectId("5b9a3220a69b5b649f8dc996"),120,food,""2018-09-13T09:47:12.771Z""
ObjectId("5b9a4915a69b5b649f8dc99a"),194,food,""2018-09-13T11:25:09.339Z""
ObjectId("5b9a495ca69b5b649f8dc99b"),668,food,""2018-09-13T11:26:20.286Z""
ObjectId("5b9a5310a69b5b649f8dc99e"),152,food,""2018-09-13T12:07:44.002Z""
ObjectId("5b9a5369a69b5b649f8dc99f"),320,food,""2018-09-13T12:09:13.660Z""
ObjectId("5b9a75daa69b5b18d09156dc"),227,food,""2018-09-13T14:36:10.133Z""
ObjectId("5b9b24f7a69b5b1b93efbfee"),194,food,""2018-09-14T03:03:19.969Z""
ObjectId("5b9b2e97a69b5b1b93efbff0"),630,food,""2018-09-14T03:44:23.270Z""
ObjectId("5b9b7eb9a69b5b1b93efbffc"),422,food,""2018-09-14T09:26:17.773Z""
ObjectId("5b9ba356a69b5b1b93efc002"),194,food,""2018-09-14T12:02:30.226Z""
ObjectId("5b9baaeca69b5b1b93efc004"),100,food,""2018-09-14T12:34:52.244Z""
ObjectId("5b9c543718b625267ad5cee0"),154,food,""2018-09-15T00:37:11.799Z""
ObjectId("5b9c55e118b625267ad5cee1"),300,food,""2018-09-15T00:44:17.576Z""
ObjectId("5b9c721318b625267ad5cee5"),678,food,""2018-09-15T02:44:35.089Z""
ObjectId("5b9cfc18a69b5b42b39b3f8f"),194,food,""2018-09-15T12:33:28.698Z""
ObjectId("5b9d0441a69b5b42b39b3f91"),230,food,""2018-09-15T13:08:17.236Z""
ObjectId("5b9d0bfea69b5b42b39b3f93"),831,food,""2018-09-15T13:41:18.214Z""
ObjectId("5b9d0c02a69b5b42b39b3f94"),183,food,""2018-09-15T13:41:22.447Z""
ObjectId("5b9d0c03a69b5b42b39b3f95"),684,food,""2018-09-15T13:41:23.969Z""
ObjectId("5b9dbb09a69b5b492c731dea"),100,food,""2018-09-16T02:08:09.462Z""
ObjectId("5b9dcaaba69b5b492c731ded"),194,food,""2018-09-16T03:14:51.565Z""
